Project Name,Capability Domain,Client,Delivery Order ID,Domain Specialization,Notes,Offer Confidence,Revenue Stream,Training Methodology
[AGI (Amazon)] - [Amazon AGI Model Evals],Reasoning & Knowledge,Amazon (AGI),,General,Human evaluation across 7 domains (coding / math / bio / business etc.),Based on proposal,Managed Services,Benchmarking
[Amazon] - [Amazon Edge AI (Medium Complexity) - Video Collection Short Form Phase 2],"Multimodal, Robotics & Embodied AI",Amazon,019ac507-42cc-776c-b2bd-e9fc04c2c3ea,General,Short-form video collection - medium complexity,Based on proposal,Managed Services,SFT Demonstrations
[Anthropic] - [Anthropic - Computationally Intensive STEM Q&As],Reasoning & Knowledge,Anthropic,,STEM & Science,Challenging STEM problems requiring scientific computation,Based on proposal,Managed Services,SFT Demonstrations
[Amazon] - [Amazon Lab126 Wearables Part 2 2025 Frame Extraction],Multimodal,Amazon,019aaf0c-38b4-78c9-a361-26eb5910b36f,General,Frame extraction & facial annotation from wearables video,Based on proposal,Managed Services,SFT Demonstrations
[Amazon] - [Pilot: Amazon Prime Video - Pairwise Preferences],"Multimodal, Reasoning & Knowledge",Amazon,019a96d1-890d-7b70-a0fe-e3d0ab7ce13f,General,Pilot for pairwise preference video search ranking,Based on proposal,Managed Services,Preference Data
[Amazon] - [Amazon Edge AI (Easy Complexity - New) - Video Collection Short Form Phase 2],"Multimodal, Robotics & Embodied AI",Amazon,019b0890-bb3b-7f63-93b8-5081dde6fb6f,General,Short-form video collection - easy complexity (new),Based on proposal,Managed Services,SFT Demonstrations
P13N: Complements ASIN Level [US],Reasoning & Knowledge,Amazon,019bb693-9296-7422-a251-6d2e220eaf8d,Business & Consulting,Product complementarity ASIN-level annotation,⚠️ No proposal,Managed Services,SFT Demonstrations
[Amazon] - [Amazon Edge AI (High Complexity) - Video Collection Short Form Phase 2],"Multimodal, Robotics & Embodied AI",Amazon,019ac508-bbc6-78fd-b133-31a8815d8ecd,General,Short-form video collection - high complexity,Based on proposal,Managed Services,SFT Demonstrations
[Aleph Alpha] - [Aleph Alpha - OCR Multi-Domain Dataset of Complex Documents],Multimodal,Aleph Alpha,,"Business & Consulting, Legal & Compliance",OCR dataset of invoices / patents / contracts in EN & DE,Based on proposal,Off-the-shelf,SFT Demonstrations
[AGI (Amazon)] - [Amazon AGI - MCP Eval],Agentic & Tool Use,Amazon (AGI),019a7805-6453-70b7-88a5-fe5da3cca13f,General,Evaluate Nova model on tool use / MCP reasoning / policy adherence,Based on proposal,Managed Services,Benchmarking
[Amazon] - [Amazon Edge AI (Easy Complexity) - Video Collection Short Form Phase 2],"Multimodal, Robotics & Embodied AI",Amazon,,General,Short-form video collection - easy complexity,Based on proposal,Managed Services,SFT Demonstrations
[Anthropic] - [Anthropic - Virtual companies simulations],Agentic & Tool Use,Anthropic,019adf60-b39c-746b-a4b3-52bd1b7798a4,Business & Consulting,Virtual company simulations for agent training,Based on proposal,Managed Services,"RL Gym, SFT Demonstrations"
[ByteDance] - [ByteDance - Deep Research Trajectory Optimizations (Pilot)],"Agentic & Tool Use, Reasoning & Knowledge",ByteDance,,General,Crowdsourced pipeline for LLM/VLM improvement & RLHF labeling,Based on proposal,Managed Services,"Preference Data, RL Gym"
[Meta AI] - [Meta Interactive Preferences],"Agentic & Tool Use, Reasoning & Knowledge",Meta AI,019b377c-4c95-7952-9580-41abcda509db; 019ce6df-393c-7e94-aa29-f753a53ac710,General,Interactive preference eval (reasoning + agentic behavior),Based on proposal,Managed Services,Preference Data
[Meta AI] - [Meta Static Preference Conversationality],Reasoning & Knowledge,Meta AI,,General,Preference eval of conversational quality,Based on proposal,Managed Services,Preference Data
[Meta AI] - [Meta Preferences Coding],"Coding & SWE, Reasoning & Knowledge",Meta AI,,General,Pairwise preference eval for code generation / review / validation,Based on proposal,Managed Services,Preference Data
[Meta AI] - [Meta - Personalization Preferences],Reasoning & Knowledge,Meta AI,019abb77-03bb-735b-a05c-56c88f009f05,General,Evaluation of personalized AI responses via user preferences,Based on proposal,Managed Services,Preference Data
[Dubformer] - [Research - WMT Dubformer 2025 - Translation],Reasoning & Knowledge,Dubformer,,General,Machine translation dataset creation,Based on proposal,Managed Services,SFT Demonstrations
[Anthropic] - [Anthropic - Vertical specific long-horizon tasks],Agentic & Tool Use,Anthropic,,General,"1000+ long-horizon RL environments (consulting, accounting, finance, retail)",Based on proposal,Managed Services,"RL Gym, SFT Demonstrations"
[Humanoid] - [Humanoid Video Data Collection],"Multimodal, Robotics & Embodied AI",Humanoid,019bfaf4-3cc4-7f67-81b2-c0018fee2df2,General,Video of robotic manipulation gestures & object interactions,Based on proposal,Managed Services,SFT Demonstrations
[Dubformer] - [Research - WMT Dubformer 2025 - Evaluation - RU],Reasoning & Knowledge,Dubformer,,General,Russian machine translation evaluation,Based on proposal,Managed Services,Benchmarking
[JetBrains] - [JetBrains - Benchmark for AI Assistant Autoeval],Coding & SWE,JetBrains,019bb79a-5fbb-784f-92fd-a5389a2c97a7,General,Expert-scored benchmark for AI coding assistants (multi-language),Based on proposal,Managed Services,Benchmarking
[Anthropic] - [Anthropic red-teaming v3],Safety & Alignment,Anthropic,,General,Prompt injection attacks in computer/browser use environments,Based on proposal,Managed Services,Preference Data
[Meta AI] - [Meta Static Preference STEM],Reasoning & Knowledge,Meta AI,,STEM & Science,Preference eval of STEM problem-solving,Based on proposal,Managed Services,Preference Data
[Dubformer] - [Research - WMT Dubformer 2025 - Evaluation - UK],Reasoning & Knowledge,Dubformer,,General,Ukrainian machine translation evaluation,Based on proposal,Managed Services,Benchmarking
[Liquid AI] - [http://Liquid.ai - SFT tool-use data],Agentic & Tool Use,Liquid AI,,General,SFT dataset for tool-use tasks & agentic behaviors,Based on proposal,Managed Services,SFT Demonstrations
[Meta AI] - [Meta AB Preference],Reasoning & Knowledge,Meta AI,,General,Pairwise preference ranking with Bradley-Terry inference,Based on proposal,Managed Services,Preference Data
[ByteDance] - [ByteDance - Prompt Generation (Phase 2)],Reasoning & Knowledge,ByteDance,,General,Production-scale QA generation & RLHF data pipeline,Based on proposal,Managed Services,SFT Demonstrations
[ByteDance] - [ByteDance - Prompt Generation (Pilot)],Reasoning & Knowledge,ByteDance,,General,QA pair generation & dataset aggregation for model improvement,Based on proposal,Managed Services,SFT Demonstrations
[Anthropic] - [Anthropic - Sequential and procedural knowledge tasks],Reasoning & Knowledge,Anthropic,019a7301-d1f0-78f9-abcc-4ebe5dd6e28b,General,Computationally intensive STEM problems requiring Python & multi-step reasoning,Based on proposal,Managed Services,SFT Demonstrations
[ByteDance] - [ByteDance - Deep Research Trajectory Optimizations (Phase 2)],"Agentic & Tool Use, Reasoning & Knowledge",ByteDance,,General,Production-scale RLHF/reward model training pipeline,Based on proposal,Managed Services,"Preference Data, RL Gym"
[Meta AI] - [Meta Elo AB Preferences],Reasoning & Knowledge,Meta AI,019ba449-b95f-7e4b-83c9-38edf24bafef,General,Elo-style pairwise preference model comparison,Based on proposal,Managed Services,Preference Data
[JetBrains] - [JetBrains - Virtual Coding Company],"Agentic & Tool Use, Coding & SWE",JetBrains,,General,Virtual coding company environment,Based on proposal,Managed Services,"RL Gym, SFT Demonstrations"
[Figure] - [Figure AI - Human Egocentric Video Data Using Cellphones],"Multimodal, Robotics & Embodied AI",Figure AI,019b2d47-48b6-700d-90d0-14cd65641819,General,Egocentric video of human activities for robotics/vision training,Based on proposal,Managed Services,SFT Demonstrations
[Meta AI] - [Meta - Generalist PRQ],Reasoning & Knowledge,Meta AI,,General,Multi-domain data labeling (code / audio / multimodal / agentic),Based on proposal,Managed Services,Preference Data
[Meta AI] - [Meta - Generalist Pilot PRQ],Reasoning & Knowledge,Meta AI,,General,Pilot for multi-domain AI data annotation & evaluation,Based on proposal,Managed Services,Preference Data
[Microsoft] - [Microsoft - Bing Places Local SBS],Reasoning & Knowledge,Microsoft,019c22a1-f227-72bc-bd84-ebc922576b10,Business & Consulting,Side-by-side comparison of local search results,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Shopify] - [Shopify - Catalogue - Rule Finding (1/3) Option Map],Reasoning & Knowledge,Shopify,,Business & Consulting,Clustering adequacy evaluation against rules,Based on proposal,Managed Services,SFT Demonstrations
[Microsoft] - [Microsoft Copilot Studio - Orchestration Agents Phase 2],Agentic & Tool Use,Microsoft,,General,Multi-turn conversation datasets for agent orchestration & tool use,Based on proposal,Managed Services,SFT Demonstrations
[Perplexity] - [Perplexity (KR) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,Korean search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Perplexity] - [Perplexity (ID) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,Indonesian search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Perplexity] - [Perplexity (IT) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,Italian search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Perplexity] - [Perplexity (ZH) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,Chinese search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Perplexity] - [Perplexity (PT) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,Portuguese search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Perplexity] - [Perplexity (ES) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,Spanish search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Meta AI] - [Meta Static Preference Tool Use],Agentic & Tool Use,Meta AI,,General,Preference eval of AI tool use in multi-step tasks,Based on proposal,Managed Services,Preference Data
Shopify - Catalogue - Options Judge,Reasoning & Knowledge,Shopify,019cb8de-6630-75ad-98c4-b41700b65fe8,Business & Consulting,Product options quality judgment,⚠️ No proposal,Managed Services,Benchmarking
[Perplexity] - [Perplexity (DE) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,German search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Microsoft] - [Microsoft AI - Charxiv CoT],"Multimodal, Reasoning & Knowledge",Microsoft,019c2e84-9681-7676-a3a7-601871a783e1,STEM & Science,CoT reasoning for vision-language models on charts from academic papers,Based on proposal,Managed Services,SFT Demonstrations
[Microsoft] - [Microsoft Bing Local - Query-Business Relevance Pilot],Reasoning & Knowledge,Microsoft,,Business & Consulting,Local search relevance annotation & evaluation,Based on proposal,Managed Services,Benchmarking
[Microsoft] - [Microsoft Copilot Studio - MCP Sandbox Engine],Agentic & Tool Use,Microsoft,,General,Create AI agents with knowledge bases & evaluate Q&A chatbots,Based on proposal,Managed Services,"Benchmarking, SFT Demonstrations"
[Microsoft] - [Microsoft Dynamics 365 - Agent Eval Rubrics],Agentic & Tool Use,Microsoft,019a96d1-0c04-7f23-ad4c-e32e03248b01,Business & Consulting,250 eval test cases for agent performance on CRM tasks,Based on proposal,Managed Services,Benchmarking
[Perplexity] - [Perplexity (RU) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,Russian search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Perplexity] - [Perplexity (JA) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,Japanese search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Shopify] - [Shopify - Ads Sensitive Content],Safety & Alignment,Shopify,019a5418-5f82-71a0-9102-8e308bb68cf8,Business & Consulting,Sensitive content annotation for ads,Based on proposal,Managed Services,"Preference Data, SFT Demonstrations"
[Meta AI] - [Meta Static Preferences Math],Reasoning & Knowledge,Meta AI,,STEM & Science,Preference eval of math problem-solving,Based on proposal,Managed Services,Preference Data
[Shopify] - [Shopify - Catalogue - Precision Judge (Scaling)],Reasoning & Knowledge,Shopify,019a7774-a8f1-7362-9af7-b8b2ed7ad7b5,Business & Consulting,Product cluster evaluation (PASS/FAIL),Based on proposal,Managed Services,Benchmarking
Shopify - Catalogue - Option Map (March Extension),Reasoning & Knowledge,Shopify,019cd1ed-1fb3-7260-9e13-2f09b538af51,Business & Consulting,Extension of catalogue option mapping,⚠️ No proposal,Managed Services,SFT Demonstrations
[Perplexity] - [Perplexity (FR) Serp2Serp Comparison],Reasoning & Knowledge,Perplexity,,General,French search results comparison,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Meta AI] - [Meta Static Preferences Conversationalist (48hr)],Reasoning & Knowledge,Meta AI,,General,48hr conversational quality evaluation,Based on proposal,Managed Services,Preference Data
[Microsoft] - [Microsoft BIS - Finance Agent - Q&A Prompt Set],"Agentic & Tool Use, Reasoning & Knowledge",Microsoft,019b4c9e-371c-7609-af83-d68d94acff98; 019b36fe-6891-70b1-8adb-e84462a11ae6,Finance & Economics,Q&A datasets for Finance Agent with ERP systems,Based on proposal,Managed Services,SFT Demonstrations
[Tools for Humanity] - [Tools For Humanity Photo Collection],Multimodal,Tools for Humanity,019c7bd8-24e1-7feb-818d-1337bd0a37a0,General,Photo/image data collection,Based on proposal,Managed Services,SFT Demonstrations
[Shopify] - [Shopify - Catalogue - Rule Finding (1/3) Option Map] (2),Reasoning & Knowledge,Shopify,,Business & Consulting,Same as above (duplicate file),Based on proposal,Managed Services,SFT Demonstrations
[Shopify] - [Shopify - Plaid transaction classification],Reasoning & Knowledge,Shopify,,Finance & Economics,Merchant transaction classification into account categories,Based on proposal,Managed Services,SFT Demonstrations
[Shopify] - [Shopify - Catalogue - Taxonomy Evolution],Reasoning & Knowledge,Shopify,,Business & Consulting,Taxonomy change evaluation & approval,Based on proposal,Managed Services,SFT Demonstrations
[Shopify] - [Shopify - Merchant Category Intent Annotation],Reasoning & Knowledge,Shopify,,Business & Consulting,Merchant category intent annotation (33k+ items),Based on proposal,Managed Services,SFT Demonstrations
[White Circle] - [White Circle - AI Safety Labeling Pilot],Safety & Alignment,White Circle,019a96e9-b47e-7dc4-8394-418064e5ddff,General,AI safety violation labeling & content moderation,Based on proposal,Managed Services,"Preference Data, SFT Demonstrations"
[Shopify] - [Shopify - Option Keys],Reasoning & Knowledge,Shopify,019aca82-4e7a-7255-ae8f-a7e3ec5959f2,Business & Consulting,Product option key extraction from storefronts,Based on proposal,Managed Services,SFT Demonstrations
[Shopify] - [Shopify - Cluster Annotations & Options],Reasoning & Knowledge,Shopify,,Business & Consulting,Product clustering annotations by rules,Based on proposal,Managed Services,SFT Demonstrations
[Shopify] - [Shopify - Search Relevance 3],Reasoning & Knowledge,Shopify,019bdfd6-458d-7cd5-8ee0-31470634acda,Business & Consulting,Search relevance annotation,Based on proposal,Managed Services,"Benchmarking, Preference Data"
[Shopify] - [Shopify - Sidekick Apps eval],"Agentic & Tool Use, Coding & SWE",Shopify,,Business & Consulting,Evaluate Sidekick AI agent (analytics / flows / code gen),Based on proposal,Managed Services,Benchmarking
[Shopify] - [Shopify - Consumer Agent - ACE Golden set],Agentic & Tool Use,Shopify,,Business & Consulting,Training data for consumer agent on http://shop.app,Based on proposal,Managed Services,SFT Demonstrations
